fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_binary,label_protocol,label_technique
1399,75,648.0,583.013436094458,1399,67,582.1428571428571,560.1430757459406,120,0.357206,0.0274773846153846,0.085368,0.0,0.0321206340069108,0.290462,0.0580924,0.160974,0.0,0.0592956502168582,52127,443,6,3888,22815.966137186944,39.1930706651064,16.797030285045604,6,3888,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.205033,0.1025165,0.205033,0.0,0.1025165,0.0,0.0,0.0,0.0,0.0,50963,123,2,180,1316.861188198973,14.631790979988589,9.754527319992391,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.203808,0.101904,0.203808,0.0,0.101904,0.0,0.0,0.0,0.0,0.0,35887,123,2,180,1324.7762600094206,14.719736222326896,9.813157481551263,2,180,0,UDP,0
1399,124,955.6,553.167461082085,1399,69,922.4444444444443,556.6273660999412,100,0.163314,0.02041425,0.096105,0.0,0.0328626261874716,0.163314,0.0408285,0.096105,0.0,0.0415329106161607,48526,443,5,4778,50834.58858395484,55.10856387082553,30.615868817125296,5,4778,0,UDP,0
1399,71,137.79343733189887,199.3044153106263,1399,67,1135.9249812453113,519.8785184395815,37180,92.767913,0.0099429703108252,7.768379,0.0,0.2213181931021484,92.767913,0.0499289090419806,7.772919,0.0,0.494054708738351,35894,443,1859,256158,114256.27307148757,100.58434752110897,20.03925646144481,1859,256158,0,UDP,0
74,74,74.0,0.0,90,74,79.33333333333333,7.542472332656507,40,0.041274,0.020637,0.041274,0.0,0.020637,0.0,0.0,0.0,0.0,0.0,39996,53,2,148,5766.342007074672,72.68498328245384,48.4566555216359,2,148,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.204421,0.1022105,0.204421,0.0,0.1022105,0.0,0.0,0.0,0.0,0.0,51589,123,2,180,1320.803635634304,14.675595951492264,9.783730634328176,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.215586,0.107793,0.215586,0.0,0.107793,0.0,0.0,0.0,0.0,0.0,36624,123,2,180,1252.4004341654838,13.915560379616489,9.277040253077658,2,180,0,UDP,0
78,78,78.0,0.0,151,78,95.8,28.28709953317944,60,0.412839,0.10320975,0.402071,0.0,0.1726020219281556,0.000103,5.15e-05,0.000103,0.0,5.15e-05,39976,53,3,234,1160.2585995993595,12.111258868469308,7.266755321081583,3,234,0,UDP,0
88,88,88.0,0.0,122,88,99.33333333333331,16.027753706895076,40,0.065844,0.032922,0.065844,0.0,0.032922,0.0,0.0,0.0,0.0,0.0,44747,53,2,176,4525.848976368386,45.5622380171314,30.374825344754267,2,176,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.214111,0.1070555,0.214111,0.0,0.1070555,0.0,0.0,0.0,0.0,0.0,48464,123,2,180,1261.028158291727,14.011423981019192,9.34094932067946,2,180,0,UDP,0
76,76,76.0,0.0,133,76,96.4,25.271327626383226,60,0.242142,0.0605355,0.145636,0.0,0.0629457582387407,8.5e-05,4.25e-05,8.5e-05,0.0,4.25e-05,55466,53,3,228,1990.5675182331029,20.649040645571606,12.389424387342965,3,228,0,UDP,0
80,80,80.0,0.0,108,80,88.8,11.42628548566856,60,0.151677,0.03791925,0.151527,0.0,0.0655914936305577,0.00015,7.5e-05,0.00015,0.0,7.5e-05,42752,53,3,240,2927.2730868885856,32.964787014511096,19.77887220870666,3,240,0,UDP,0
80,80,80.0,0.0,108,80,88.8,11.42628548566856,60,0.221324,0.055331,0.141009,0.0,0.0592902808097583,0.000166,8.3e-05,0.000166,0.0,8.3e-05,36720,53,3,240,2006.1086913303573,22.59131409155808,13.554788454934847,3,240,0,UDP,0
78,78,78.0,0.0,125,78,94.4,20.44113499784197,60,2.149747,0.53743675,2.01196,0.0,0.8531566896483246,0.0004,0.0002,0.0004,0.0,0.0002,48040,53,3,234,219.56072040105184,2.325855088994193,1.395513053396516,3,234,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.211981,0.1059905,0.211981,0.0,0.1059905,0.0,0.0,0.0,0.0,0.0,36894,123,2,180,1273.6990579344374,14.152211754827084,9.43480783655139,2,180,0,UDP,0
79,79,79.0,0.0,109,79,89.0,14.142135623730953,40,0.053916,0.026958,0.053916,0.0,0.026958,0.0,0.0,0.0,0.0,0.0,43211,53,2,158,4952.1477854440245,55.642109948809264,37.09473996587284,2,158,0,UDP,0
80,80,80.0,0.0,112,80,90.66666666666669,15.084944665313014,40,0.056797,0.0283985,0.056797,0.0,0.0283985,0.0,0.0,0.0,0.0,0.0,46080,53,2,160,4788.985333732416,52.81969118087223,35.21312745391482,2,160,0,UDP,0
79,79,79.0,0.0,130,79,96.0,24.04163056034261,40,0.149978,0.074989,0.149978,0.0,0.074989,0.0,0.0,0.0,0.0,0.0,50505,53,2,158,1920.281641307392,20.002933763618664,13.335289175745777,2,158,0,UDP,0
