fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_technique,label_binary,label_protocol
92,92,92.0,0.0,92,92,92.0,0.0,240,66.41956,6.038141818,6.874863,0,1.910873483,66.41956,6.038141818,6.874863,0,1.910873483,36290,9980,12,1104,16.62160966,0.18066967,0.18066967,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418809,6.038073545,6.874872,0,1.910852508,66.418809,6.038073545,6.874872,0,1.910852508,36290,9981,12,1104,16.6217976,0.180671713,0.180671713,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.41896,6.038087273,6.874945,0,1.910857129,66.41896,6.038087273,6.874945,0,1.910857129,36290,9982,12,1104,16.62175981,0.180671302,0.180671302,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418887,6.038080636,6.875716,0,1.910864314,66.418887,6.038080636,6.875716,0,1.910864314,36290,9983,12,1104,16.62177808,0.180671501,0.180671501,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419388,6.038126182,6.876704,0,1.910889771,66.419388,6.038126182,6.876704,0,1.910889771,36290,9984,12,1104,16.6216527,0.180670138,0.180670138,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.41942,6.038129091,6.874996,0,1.910869488,66.41942,6.038129091,6.874996,0,1.910869488,36290,9985,12,1104,16.62164469,0.180670051,0.180670051,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419221,6.038111,6.874767,0,1.910861648,66.419221,6.038111,6.874767,0,1.910861648,36290,9986,12,1104,16.62169449,0.180670592,0.180670592,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419415,6.038128636,6.874548,0,1.910864591,66.419415,6.038128636,6.874548,0,1.910864591,36290,9987,12,1104,16.62164594,0.180670065,0.180670065,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419726,6.038156909,6.874848,0,1.910876798,66.419726,6.038156909,6.874848,0,1.910876798,36290,9988,12,1104,16.62156812,0.180669219,0.180669219,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420288,6.038208,6.874233,0,1.910885061,66.420288,6.038208,6.874233,0,1.910885061,36290,9989,12,1104,16.62142748,0.18066769,0.18066769,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419841,6.038167364,6.874353,0,1.91087438,66.419841,6.038167364,6.874353,0,1.91087438,36290,9990,12,1104,16.62153934,0.180668906,0.180668906,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419864,6.038169455,6.874542,0,1.910877266,66.419864,6.038169455,6.874542,0,1.910877266,36290,9991,12,1104,16.62153358,0.180668843,0.180668843,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420064,6.038187636,6.874576,0,1.910882944,66.420064,6.038187636,6.874576,0,1.910882944,36290,9992,12,1104,16.62148353,0.180668299,0.180668299,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419692,6.038153818,6.874709,0,1.910874916,66.419692,6.038153818,6.874709,0,1.910874916,36290,9993,12,1104,16.62157663,0.180669311,0.180669311,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419461,6.038132818,6.875091,0,1.91087309,66.419461,6.038132818,6.875091,0,1.91087309,36290,9994,12,1104,16.62163443,0.180669939,0.180669939,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419924,6.038174909,6.875433,0,1.910889238,66.419924,6.038174909,6.875433,0,1.910889238,36290,9995,12,1104,16.62151857,0.18066868,0.18066868,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.419936,6.038176,6.876505,0,1.910902095,66.419936,6.038176,6.876505,0,1.910902095,36290,9996,12,1104,16.62151556,0.180668647,0.180668647,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420182,6.038198364,6.876272,0,1.910906031,66.420182,6.038198364,6.876272,0,1.910906031,36290,9997,12,1104,16.621454,0.180667978,0.180667978,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420454,6.038223091,6.876137,0,1.910911959,66.420454,6.038223091,6.876137,0,1.910911959,36290,9998,12,1104,16.62138594,0.180667238,0.180667238,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420531,6.038230091,6.876101,0,1.910913624,66.420531,6.038230091,6.876101,0,1.910913624,36290,9999,12,1104,16.62136667,0.180667029,0.180667029,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420439,6.038221727,6.877025,0,1.910921813,66.420439,6.038221727,6.877025,0,1.910921813,36290,10000,12,1104,16.62138969,0.180667279,0.180667279,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420256,6.038205091,6.877736,0,1.910925238,66.420256,6.038205091,6.877736,0,1.910925238,36290,10001,12,1104,16.62143548,0.180667777,0.180667777,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420802,6.038254727,6.878082,0,1.910944713,66.420802,6.038254727,6.878082,0,1.910944713,36290,10002,12,1104,16.62129885,0.180666292,0.180666292,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.421106,6.038282364,6.87892,0,1.910963343,66.421106,6.038282364,6.87892,0,1.910963343,36290,10003,12,1104,16.62122278,0.180665465,0.180665465,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.420957,6.038268818,6.880073,0,1.910973409,66.420957,6.038268818,6.880073,0,1.910973409,36290,10004,12,1104,16.62126006,0.18066587,0.18066587,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.421161,6.038287364,6.879543,0,1.910972229,66.421161,6.038287364,6.879543,0,1.910972229,36290,10005,12,1104,16.62120902,0.180665315,0.180665315,12,1104,2,1,UDP
